,0
0,ClC(Cl)Cl
1,CCCCCCCCCO
2,CC(Cl)(Cl)Cl
3,OCc1ccccc1
4,ClCCCCCCCl
5,CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
6,CCCCCOC(=O)CC
7,CCCCCCCCCC
8,BrCCBr
9,CCC(=O)OC
10,CC/C=C\CCO
11,C[N+](=O)[O-]
12,CCCCCCCCCCCCCC
13,BrCCCBr
14,CC#N
15,ClC(Cl)=C(Cl)Cl
16,CCOC(=O)OCC
17,O=[N+]([O-])[O-].[Li+]
18,CCCCc1ccccc1
19,C1CCOCC1
20,BrCCCCCBr
21,CNc1ccccc1
22,CCn1cc[n+](C)c1.COS(=O)(=O)[O-]
23,COC(C)=O
24,ClCCc1ccccc1
25,CCCCOC(=O)CCC
26,ClC=C(Cl)Cl
27,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
28,CCCCCCCO
29,CCCC[N+]1(C)CCCC1.N#C[N-]C#N
30,CCCCC(=O)OC
31,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N
32,COCCOCCOC
33,CCC(C)(C)O
34,CCCCCOC=O
35,C1CCOC1
36,OC1=NCCC1
37,ClCCCCCCl
38,CCCCCl
39,BrCCCCCCBr
40,ClC[C@H]1CO1
41,CCCCCCCOC
42,CC(=O)OCCO
43,ClC[C@@H]1CO1
44,CN1CCCC1=O
45,CCCCC(=O)OCC
46,CCOCCOCCOCCO
47,CCCOCCC(C)C
48,CCCCC
49,COCOC
50,COC(=O)[C@@H](C)CO
51,CCCCCCCCC
52,CCCOC(C)=O
53,CCCCOC=O
54,CCOC(=O)c1ccccc1
55,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
56,CCCCCCCCCC(=O)OC
57,Cc1ccccc1Cl
58,ClC(Cl)C(Cl)Cl
59,OCCOCCO
60,CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
61,CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N
62,CCC(C)=O
63,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
64,COCCOCCO
65,CCCCOCCO
66,CCCC(C)=O
67,C[C@H](NCc1ccccc1)c1ccccc1
68,Brc1ccccc1
69,C[C@H](O)c1ccccc1
70,CCOCCOCC
71,CCOC(=O)CC(C)=O
72,CC(C)(C)O
73,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC
74,CS(C)=O
75,CN1CCCCC1
76,CCOC(=O)CC(=O)OCC
77,CCCOC(=O)CCC
78,CCCCn1cc[n+](C)c1C.F[B-](F)(F)F
79,CCOC(=O)C(C)C
80,CCCCCCO
81,COC(=O)OC
82,CCCCCCOCC
83,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
84,C1CCNCC1
85,CCCCCCCCC(C)=O
86,CCCC(=O)OC[C@H]1CO1
87,COC=O
88,CC(C)CO
89,Cn1ccnc1
90,CC(=O)CC(C)C
91,CCn1cc[n+](C)c1.N#C[S-]
92,CCN(CC)CC
93,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F
94,CCCCCCCl
95,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
96,CCOCCOCCOCC
97,CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-]
98,CC(=O)C(C)=O
99,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
100,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F
101,O=C1CCCC1
102,Clc1ccccc1
103,ClCCCl
104,CC(C)CC(C)(C)C
105,CCCCCC(=O)CC
106,Cc1ccccc1C
107,C=C(C)[C@H]1CC=C(C)CC1
108,CCCCCOCCC
109,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1
110,OCCc1ccccc1
111,CCCC(=O)OC[C@@H]1CO1
112,CC(C)OC(C)C
113,CCCCCC(=O)OC(=O)CCCCC
114,CC(=O)N(C)C
115,c1cc[nH]c1
116,CCCCCC
117,C1COCO1
118,CCC(C)CC
119,CCCO
120,C[n+]1ccn(CCO)c1.O=C([O-])C(F)(F)F
121,Cc1ccc(C)cc1
122,CCN(CC)CCCN
123,COC(C)(C)C
124,C=C(C)CC(C)(C)C
125,CCn1cc[n+](C)c1.F[B-](F)(F)F
126,OCCO
127,Cc1cccnc1
128,CN1CCOCC1
129,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
130,c1ccncc1
131,OCCOCCOCCOCCO
132,ClC(Cl)(Cl)Cl
133,CCC(C)(C)C
134,COCCOC
135,O=[N+]([O-])c1ccccc1
136,Cc1ccccc1N
137,CCCOCCC
138,CCCCCO
139,CCCC(=O)OC
140,CCCCCCCCCCC
141,CCCCn1cc[n+](C)c1.N#C[N-]C#N
142,ClCCCCl
143,COc1ccccc1
144,Cc1cccc(C)c1
145,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
146,CCCCCCCC(=O)O
147,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
148,CCCCNCCCC
149,Cc1cccc(C)n1
150,NCCO
151,CCCCCCN
152,COCCO
153,C[C@@H]1COC(=O)O1
154,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1
155,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
156,BrCCCCBr
157,CCCCN
158,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
159,CCn1cc[n+](C)c1.O=S(=O)([O-])O
160,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
161,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-]
162,CCCCn1cc[n+](C)c1.F[B-](F)(F)F
163,CCOC=O
164,C1COCCO1
165,CCCCCOCCCCC
166,CCCCCC(C)=O
167,CCOCCOCCO
168,c1ccsc1
169,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
170,CO
171,C[C@@H](O)c1ccccc1
172,C[C@@H](N)c1ccccc1
173,C[C@@H](NCc1ccccc1)c1ccccc1
174,CCn1cc[n+](C)c1.CS(=O)(=O)[O-]
175,CCCCCCCCCCO
176,Nc1ccccc1
177,CCCCCCC
178,c1ccccc1
179,CC(C)=O
180,Cc1ccccc1
181,CCOc1ccccc1
182,Cc1ccccn1
183,CCCCO
184,CCCCOCC(C)C
185,CCCCCCCCO
186,CCCCCCCCCCCCC
187,CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
188,O=C1CCCCCC1
189,CC1CCCCC1
190,CC(C)C(C)C
191,CCC(=O)CC
192,CCCC#N
193,OCCCc1ccccc1
194,CC(=O)CC(C)=O
195,COC(=O)CC(C)=O
196,CCCCCCCCCCCC
197,CCCCOC(C)=O
198,CCCc1ccccc1
199,CN(CCO)CCO
200,CCCCCCCC
201,ClCCCCCl
202,CCCCCCCCCCCCCCCC
203,ClCCCc1ccccc1
204,CCCCOCCCC
205,CCCCCCCCCCCCCCC
206,CCCCCCCCCCCCCCCCC
207,CCOCCO
208,CCOC(C)=O
209,C[C@H](N)c1ccccc1
210,C[C@H]1COC(=O)O1
211,C=CCCCCCC
212,CCCCC#N
213,CCCCCCCCCl
214,CC(=O)C(C)C
215,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
216,CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N
217,O=C1CCCCC1
218,CN(C)C=O
219,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
220,CCn1cc[n+](C)c1.N#C[N-]C#N
221,CC(C)O
222,C=CCCCC
223,CCCCC(C)=O
224,CCO
225,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)C(F)F
226,Cc1ccncc1
227,CCC#N
228,CCOC(C)(C)CC
229,CCCCOC(=O)CC
230,CCCOC=O
231,CCCNCCC
232,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
233,CCCC(=O)OCC
234,CCCC(C)C
235,O=CO
236,ClCc1ccccc1
237,C1CCCCC1
238,CCc1ccccc1
239,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
240,CCCCCC(=O)O
241,CCOC(C)(C)C
242,COC(C)(C)CC(C)(C)C
243,CCCCCOC(C)=O
244,CCOC(=O)C(=O)OCC
245,CCOC(=O)CC
246,O
247,CCCCC(=O)OC(=O)CCCC
248,OCC(F)(F)F
249,COP(=O)([O-])OC.Cn1cc[n+](C)c1
250,OCCOCCOCCO
251,COC(=O)[C@H](C)CO
252,CCCOC(=O)CC
253,CCCCCCC(C)=O
